text,department
Noise disturbance during night in near park,Police
Emergency services delayed in village center,Medical
Long waiting time at hospital in market area,Medical
Pothole on road near junction,Roads
Pothole on road near junction,Roads
Cracks on main road at near park,Roads
Sanitation workers not cleaning school area,Sanitation
No water supply in hospital road,Water
Doctors not available at hospital in hospital road,Medical
Road damaged after rain at school area,Roads
Illegal activities happening in residential colony,Police
Traffic violations reported in near park,Police
Sanitation workers not cleaning market area,Sanitation
Uneven road surface in near bus stop,Roads
Water leakage near hospital road,Water
Low water pressure at market area,Water
Drainage overflow in market area,Municipal
Road damaged after rain at hospital road,Roads
Frequent power cut in near bus stop,Electricity
Dirty water supplied at residential colony,Water
Ambulance not responding in near bus stop,Medical
Water leakage near residential colony,Water
Poor hygiene in hospital at near park,Medical
Theft reported in residential colony,Police
Theft reported in residential colony,Police
Theft reported in near park,Police
Poor hygiene in hospital at market area,Medical
No water supply in main road,Water
Overflowing dustbin at residential colony,Sanitation
Transformer problem in near park,Electricity
Theft reported in main road,Police
Broken electric wire at junction,Electricity
Illegal activities happening in school area,Police
Garbage not collected near main road,Sanitation
Noise disturbance during night in village center,Police
Road damaged after rain at residential colony,Roads
Open manhole near school area,Municipal
Suspicious people roaming in near park,Police
Doctors not available at hospital in village center,Medical
Traffic violations reported in residential colony,Police
Emergency services delayed in near park,Medical
Open garbage causing bad smell in market area,Sanitation
Transformer problem in near bus stop,Electricity
Garbage not collected near village center,Sanitation
Uneven road surface in near bus stop,Roads
Broken electric wire at school area,Electricity
Transformer problem in school area,Electricity
Emergency services delayed in village center,Medical
Electric pole sparks near near bus stop,Electricity
Doctors not available at hospital in near park,Medical
Street light not working at near park,Electricity
Electric pole sparks near near park,Electricity
Suspicious people roaming in school area,Police
Water pipe burst in market area,Water
Traffic violations reported in market area,Police
Drain cover missing in near bus stop,Municipal
Sanitation workers not cleaning school area,Sanitation
Incomplete road construction at junction,Roads
Uneven road surface in village center,Roads
Sanitation workers not cleaning market area,Sanitation
Water leakage near main road,Water
Theft reported in hospital road,Police
Frequent power cut in hospital road,Electricity
Pothole on road near residential colony,Roads
Drain cover missing in village center,Municipal
Street light not working at market area,Electricity
Doctors not available at hospital in main road,Medical
Low water pressure at school area,Water
Doctors not available at hospital in hospital road,Medical
Drain cover missing in hospital road,Municipal
Water pipe burst in junction,Water
Garbage not collected near village center,Sanitation
Theft reported in near park,Police
Poor hygiene in hospital at near park,Medical
Ambulance not responding in school area,Medical
Incomplete road construction at hospital road,Roads
Suspicious people roaming in near park,Police
Poor hygiene in hospital at hospital road,Medical
Traffic violations reported in residential colony,Police
Street light not working at near bus stop,Electricity
Low water pressure at village center,Water
Water pipe burst in my street,Water
Emergency services delayed in market area,Medical
Drainage overflow in near park,Municipal
Poor hygiene in hospital at hospital road,Medical
Doctors not available at hospital in junction,Medical
Low water pressure at market area,Water
Dirty water supplied at near bus stop,Water
Emergency services delayed in village center,Medical
Incomplete road construction at main road,Roads
Doctors not available at hospital in residential colony,Medical
Suspicious people roaming in junction,Police
Overflowing dustbin at market area,Sanitation
Long waiting time at hospital in school area,Medical
Overflowing dustbin at my street,Sanitation
Frequent power cut in hospital road,Electricity
Low water pressure at hospital road,Water
Drain cover missing in residential colony,Municipal
Garbage not collected near market area,Sanitation
Waste dumped for many days at main road,Sanitation
Open manhole near school area,Municipal
Electric pole sparks near main road,Electricity
Road damaged after rain at hospital road,Roads
Open manhole near residential colony,Municipal
Noise disturbance during night in school area,Police
Emergency services delayed in near park,Medical
Open garbage causing bad smell in residential colony,Sanitation
No water supply in school area,Water
Road damaged after rain at school area,Roads
Open manhole near near bus stop,Municipal
Emergency services delayed in hospital road,Medical
Incomplete road construction at village center,Roads
Road damaged after rain at hospital road,Roads
Overflowing dustbin at hospital road,Sanitation
Water leakage near residential colony,Water
Electric pole sparks near near park,Electricity
Sanitation workers not cleaning market area,Sanitation
Open garbage causing bad smell in village center,Sanitation
Uneven road surface in near bus stop,Roads
Garbage not collected near junction,Sanitation
Open garbage causing bad smell in school area,Sanitation
Frequent power cut in market area,Electricity
Drainage overflow in residential colony,Municipal
Water leakage near market area,Water
Low water pressure at near park,Water
Overflowing dustbin at my street,Sanitation
No water supply in near park,Water
Water leakage near my street,Water
Frequent power cut in near park,Electricity
No water supply in near park,Water
Sanitation workers not cleaning main road,Sanitation
Incomplete road construction at village center,Roads
Overflowing dustbin at my street,Sanitation
Illegal activities happening in market area,Police
Drainage overflow in market area,Municipal
Traffic violations reported in near park,Police
Theft reported in junction,Police
Waste dumped for many days at main road,Sanitation
Cracks on main road at junction,Roads
Doctors not available at hospital in village center,Medical
Open manhole near main road,Municipal
Open garbage causing bad smell in near bus stop,Sanitation
Poor hygiene in hospital at near bus stop,Medical
Dirty water supplied at near park,Water
Illegal activities happening in residential colony,Police
Dirty water supplied at my street,Water
Dirty water supplied at residential colony,Water
Sanitation workers not cleaning my street,Sanitation
Frequent power cut in hospital road,Electricity
Cracks on main road at market area,Roads
Water leakage near school area,Water
Drain cover missing in my street,Municipal
Drainage overflow in village center,Municipal
Theft reported in school area,Police
Theft reported in near park,Police
Open garbage causing bad smell in hospital road,Sanitation
Traffic violations reported in my street,Police
Water pipe burst in junction,Water
Doctors not available at hospital in junction,Medical
Street light not working at near bus stop,Electricity
Illegal activities happening in market area,Police
Sanitation workers not cleaning main road,Sanitation
Water leakage near near bus stop,Water
Frequent power cut in my street,Electricity
Drain cover missing in my street,Municipal
Water leakage near residential colony,Water
Drain cover missing in near park,Municipal
Water pipe burst in near park,Water
Frequent power cut in market area,Electricity
Poor hygiene in hospital at near bus stop,Medical
Theft reported in hospital road,Police
Open manhole near my street,Municipal
Electric pole sparks near near bus stop,Electricity
Pothole on road near main road,Roads
Theft reported in near bus stop,Police
Transformer problem in junction,Electricity
Rainwater not draining properly in market area,Municipal
Dirty water supplied at hospital road,Water
Ambulance not responding in near bus stop,Medical
Drainage overflow in school area,Municipal
Road damaged after rain at main road,Roads
Water pipe burst in school area,Water
Poor hygiene in hospital at junction,Medical
Waste dumped for many days at hospital road,Sanitation
Garbage not collected near residential colony,Sanitation
Sewage blockage at junction,Municipal
Traffic violations reported in residential colony,Police
Poor hygiene in hospital at school area,Medical
Theft reported in school area,Police
Overflowing dustbin at junction,Sanitation
Water leakage near market area,Water
Street light not working at my street,Electricity
Water leakage near junction,Water
Traffic violations reported in hospital road,Police
Suspicious people roaming in near bus stop,Police
Open manhole near residential colony,Municipal
Open manhole near near bus stop,Municipal
Broken electric wire at main road,Electricity
Sewage blockage at near park,Municipal
Road damaged after rain at village center,Roads
Low water pressure at my street,Water
Emergency services delayed in near park,Medical
Long waiting time at hospital in main road,Medical
Pothole on road near residential colony,Roads
Doctors not available at hospital in market area,Medical
Sanitation workers not cleaning near park,Sanitation
Dirty water supplied at junction,Water
No water supply in residential colony,Water
Cracks on main road at residential colony,Roads
Water leakage near market area,Water
Sanitation workers not cleaning village center,Sanitation
Low water pressure at main road,Water
Sewage blockage at village center,Municipal
Suspicious people roaming in village center,Police
Street light not working at residential colony,Electricity
Drain cover missing in near bus stop,Municipal
Transformer problem in school area,Electricity
Road damaged after rain at school area,Roads
Water pipe burst in school area,Water
Broken electric wire at near bus stop,Electricity
Transformer problem in village center,Electricity
Sanitation workers not cleaning hospital road,Sanitation
Drain cover missing in near park,Municipal
Ambulance not responding in school area,Medical
Incomplete road construction at near bus stop,Roads
Dirty water supplied at village center,Water
Low water pressure at main road,Water
Sewage blockage at village center,Municipal
Emergency services delayed in hospital road,Medical
Emergency services delayed in near park,Medical
Noise disturbance during night in main road,Police
Poor hygiene in hospital at school area,Medical
Drainage overflow in my street,Municipal
Sanitation workers not cleaning near bus stop,Sanitation
Water pipe burst in village center,Water
Transformer problem in my street,Electricity
Overflowing dustbin at main road,Sanitation
Drain cover missing in school area,Municipal
Incomplete road construction at near park,Roads
Emergency services delayed in near bus stop,Medical
Poor hygiene in hospital at residential colony,Medical
Open garbage causing bad smell in village center,Sanitation
Water leakage near main road,Water
Electric pole sparks near junction,Electricity
No water supply in junction,Water
Water pipe burst in school area,Water
Dirty water supplied at residential colony,Water
Ambulance not responding in village center,Medical
Theft reported in junction,Police
Noise disturbance during night in school area,Police
Low water pressure at village center,Water
Poor hygiene in hospital at near park,Medical
Transformer problem in near bus stop,Electricity
No water supply in main road,Water
Traffic violations reported in junction,Police
Open garbage causing bad smell in hospital road,Sanitation
Long waiting time at hospital in near park,Medical
Traffic violations reported in my street,Police
Sewage blockage at school area,Municipal
Road damaged after rain at hospital road,Roads
Uneven road surface in near park,Roads
Sewage blockage at near park,Municipal
Transformer problem in main road,Electricity
Traffic violations reported in market area,Police
Theft reported in residential colony,Police
Pothole on road near main road,Roads
Water leakage near hospital road,Water
Drainage overflow in hospital road,Municipal
Cracks on main road at village center,Roads
Garbage not collected near main road,Sanitation
Water pipe burst in junction,Water
Rainwater not draining properly in junction,Municipal
Transformer problem in residential colony,Electricity
Road damaged after rain at my street,Roads
Theft reported in near park,Police
Overflowing dustbin at junction,Sanitation
Electric pole sparks near junction,Electricity
Illegal activities happening in market area,Police
Waste dumped for many days at market area,Sanitation
Ambulance not responding in my street,Medical
Transformer problem in junction,Electricity
Transformer problem in junction,Electricity
Street light not working at residential colony,Electricity
Waste dumped for many days at near park,Sanitation
Broken electric wire at market area,Electricity
Incomplete road construction at near bus stop,Roads
Pothole on road near market area,Roads
Uneven road surface in village center,Roads
Doctors not available at hospital in near park,Medical
Suspicious people roaming in school area,Police
Theft reported in residential colony,Police
Theft reported in residential colony,Police
Doctors not available at hospital in near park,Medical
Frequent power cut in junction,Electricity
Theft reported in residential colony,Police
Waste dumped for many days at hospital road,Sanitation
Overflowing dustbin at near bus stop,Sanitation
Waste dumped for many days at market area,Sanitation
Theft reported in junction,Police
Rainwater not draining properly in village center,Municipal
Rainwater not draining properly in school area,Municipal
Overflowing dustbin at residential colony,Sanitation
Sanitation workers not cleaning junction,Sanitation
Frequent power cut in near park,Electricity
Low water pressure at village center,Water
Doctors not available at hospital in village center,Medical
Incomplete road construction at my street,Roads
Incomplete road construction at residential colony,Roads
Low water pressure at near bus stop,Water
Incomplete road construction at near park,Roads
Broken electric wire at market area,Electricity
Illegal activities happening in market area,Police
Dirty water supplied at my street,Water
Rainwater not draining properly in my street,Municipal
Doctors not available at hospital in school area,Medical
Sewage blockage at near park,Municipal
Traffic violations reported in residential colony,Police
Broken electric wire at market area,Electricity
Suspicious people roaming in my street,Police
Doctors not available at hospital in village center,Medical
Cracks on main road at main road,Roads
Low water pressure at main road,Water
Drain cover missing in school area,Municipal
Uneven road surface in near bus stop,Roads
Broken electric wire at residential colony,Electricity
Water pipe burst in school area,Water
Cracks on main road at residential colony,Roads
Uneven road surface in main road,Roads
Ambulance not responding in market area,Medical
Sewage blockage at junction,Municipal
Low water pressure at junction,Water
Theft reported in junction,Police
Long waiting time at hospital in junction,Medical
Uneven road surface in near park,Roads
Incomplete road construction at main road,Roads
Water pipe burst in village center,Water
Overflowing dustbin at my street,Sanitation
Overflowing dustbin at residential colony,Sanitation
Electric pole sparks near market area,Electricity
Cracks on main road at near park,Roads
Incomplete road construction at residential colony,Roads
Garbage not collected near near park,Sanitation
Noise disturbance during night in hospital road,Police
Sanitation workers not cleaning my street,Sanitation
Poor hygiene in hospital at school area,Medical
Drain cover missing in main road,Municipal
Cracks on main road at school area,Roads
Sewage blockage at near bus stop,Municipal
Doctors not available at hospital in school area,Medical
Uneven road surface in near park,Roads
Sewage blockage at hospital road,Municipal
Open garbage causing bad smell in my street,Sanitation
Noise disturbance during night in market area,Police
Overflowing dustbin at hospital road,Sanitation
Overflowing dustbin at main road,Sanitation
Dirty water supplied at near bus stop,Water
Broken electric wire at near bus stop,Electricity
Poor hygiene in hospital at main road,Medical
Road damaged after rain at village center,Roads
Street light not working at near park,Electricity
Doctors not available at hospital in market area,Medical
Sanitation workers not cleaning hospital road,Sanitation
Uneven road surface in school area,Roads
Rainwater not draining properly in my street,Municipal
Broken electric wire at school area,Electricity
Doctors not available at hospital in main road,Medical
Low water pressure at my street,Water
Sewage blockage at my street,Municipal
Illegal activities happening in hospital road,Police
Doctors not available at hospital in near park,Medical
Frequent power cut in hospital road,Electricity
Frequent power cut in junction,Electricity
Electric pole sparks near school area,Electricity
Illegal activities happening in village center,Police
Suspicious people roaming in village center,Police
Frequent power cut in residential colony,Electricity
Broken electric wire at village center,Electricity
Uneven road surface in near park,Roads
Broken electric wire at residential colony,Electricity
Pothole on road near hospital road,Roads
Uneven road surface in near bus stop,Roads
Incomplete road construction at near park,Roads
Illegal activities happening in near bus stop,Police
Pothole on road near market area,Roads
Poor hygiene in hospital at hospital road,Medical
Uneven road surface in near bus stop,Roads
Dirty water supplied at hospital road,Water
Suspicious people roaming in school area,Police
Emergency services delayed in my street,Medical
Road damaged after rain at near bus stop,Roads
Broken electric wire at residential colony,Electricity
Transformer problem in hospital road,Electricity
Noise disturbance during night in market area,Police
Noise disturbance during night in main road,Police
Water leakage near market area,Water
Rainwater not draining properly in junction,Municipal
Dirty water supplied at school area,Water
Sanitation workers not cleaning near bus stop,Sanitation
Rainwater not draining properly in school area,Municipal
Rainwater not draining properly in near bus stop,Municipal
Waste dumped for many days at school area,Sanitation
Drain cover missing in main road,Municipal
Broken electric wire at junction,Electricity
Emergency services delayed in main road,Medical
Water pipe burst in my street,Water
Garbage not collected near residential colony,Sanitation
Noise disturbance during night in main road,Police
Suspicious people roaming in hospital road,Police
No water supply in school area,Water
Water pipe burst in residential colony,Water
Emergency services delayed in main road,Medical
Open garbage causing bad smell in near bus stop,Sanitation
Open garbage causing bad smell in hospital road,Sanitation
Drain cover missing in junction,Municipal
Noise disturbance during night in my street,Police
Frequent power cut in hospital road,Electricity
Theft reported in junction,Police
Water pipe burst in hospital road,Water
Electric pole sparks near main road,Electricity
Drain cover missing in near bus stop,Municipal
Broken electric wire at my street,Electricity
Drain cover missing in near park,Municipal
Dirty water supplied at near park,Water
Broken electric wire at school area,Electricity
Waste dumped for many days at residential colony,Sanitation
Poor hygiene in hospital at junction,Medical
No water supply in residential colony,Water
Cracks on main road at near park,Roads
Broken electric wire at market area,Electricity
Electric pole sparks near main road,Electricity
Transformer problem in residential colony,Electricity
Low water pressure at my street,Water
Noise disturbance during night in near bus stop,Police
Transformer problem in junction,Electricity
Broken electric wire at my street,Electricity
Low water pressure at school area,Water
Doctors not available at hospital in my street,Medical
Doctors not available at hospital in main road,Medical
Dirty water supplied at junction,Water
Doctors not available at hospital in near park,Medical
Water leakage near junction,Water
Drain cover missing in junction,Municipal
Pothole on road near junction,Roads
Open garbage causing bad smell in market area,Sanitation
Incomplete road construction at residential colony,Roads
Traffic violations reported in junction,Police
Uneven road surface in school area,Roads
Doctors not available at hospital in market area,Medical
Emergency services delayed in main road,Medical
Overflowing dustbin at school area,Sanitation
Illegal activities happening in near bus stop,Police
No water supply in hospital road,Water
Overflowing dustbin at market area,Sanitation
Frequent power cut in main road,Electricity
Sewage blockage at market area,Municipal
Traffic violations reported in hospital road,Police
Garbage not collected near junction,Sanitation
Sewage blockage at near bus stop,Municipal
Broken electric wire at my street,Electricity
Overflowing dustbin at hospital road,Sanitation
Sewage blockage at residential colony,Municipal
Waste dumped for many days at near bus stop,Sanitation
Water pipe burst in village center,Water
Open garbage causing bad smell in hospital road,Sanitation
Road damaged after rain at main road,Roads
Suspicious people roaming in school area,Police
Open garbage causing bad smell in my street,Sanitation
Open manhole near junction,Municipal
Pothole on road near main road,Roads
Road damaged after rain at market area,Roads
Cracks on main road at hospital road,Roads
Theft reported in main road,Police
Open garbage causing bad smell in school area,Sanitation
Road damaged after rain at my street,Roads
Emergency services delayed in main road,Medical
Noise disturbance during night in hospital road,Police
Pothole on road near market area,Roads
Suspicious people roaming in school area,Police
Electric pole sparks near village center,Electricity
Long waiting time at hospital in hospital road,Medical
No water supply in school area,Water
Open manhole near near park,Municipal
Uneven road surface in school area,Roads
Long waiting time at hospital in hospital road,Medical
Suspicious people roaming in near bus stop,Police
Emergency services delayed in school area,Medical
Frequent power cut in market area,Electricity
Dirty water supplied at near park,Water
No water supply in near park,Water
Traffic violations reported in market area,Police
Drainage overflow in school area,Municipal
Theft reported in main road,Police
Incomplete road construction at hospital road,Roads
Doctors not available at hospital in village center,Medical
Garbage not collected near residential colony,Sanitation
Low water pressure at main road,Water
Doctors not available at hospital in village center,Medical
Electric pole sparks near residential colony,Electricity
Broken electric wire at residential colony,Electricity
Frequent power cut in village center,Electricity
Pothole on road near my street,Roads
Doctors not available at hospital in main road,Medical
Drain cover missing in my street,Municipal
Doctors not available at hospital in near bus stop,Medical
Drainage overflow in my street,Municipal
Sanitation workers not cleaning near bus stop,Sanitation
Water leakage near hospital road,Water
Theft reported in hospital road,Police
Uneven road surface in main road,Roads
Road damaged after rain at main road,Roads
Open manhole near school area,Municipal
Road damaged after rain at junction,Roads
Low water pressure at village center,Water
Pothole on road near main road,Roads
Noise disturbance during night in near park,Police
Dirty water supplied at near bus stop,Water
Doctors not available at hospital in near park,Medical
Ambulance not responding in school area,Medical
Incomplete road construction at residential colony,Roads
Transformer problem in residential colony,Electricity
Transformer problem in market area,Electricity
Open garbage causing bad smell in school area,Sanitation
Garbage not collected near hospital road,Sanitation
Emergency services delayed in junction,Medical
Open garbage causing bad smell in hospital road,Sanitation
Transformer problem in residential colony,Electricity
Water pipe burst in near bus stop,Water
